gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,Group C,Some High School,free/reduced,completed,50,60,60
FEMALE,Group C,Some College,free/reduced,completed,63,73,71
FEMALE,Group B,Bachelor'S Degree,free/reduced,none,77,85,87
MALE,Group C,Some College,standard,none,73,74,61
MALE,Group D,Associate'S Degree,standard,completed,81,72,77
FEMALE,Group C,High School,free/reduced,none,66,76,68
MALE,Group D,Associate'S Degree,free/reduced,none,52,57,50
FEMALE,Group C,Some College,standard,none,69,78,76
FEMALE,Group C,Associate'S Degree,standard,completed,65,84,84
FEMALE,Group D,High School,standard,completed,69,77,78
FEMALE,Group B,Some College,standard,completed,50,64,66
FEMALE,Group E,Some College,standard,completed,73,78,76
FEMALE,Group C,Some High School,standard,completed,70,82,76
MALE,Group D,Associate'S Degree,free/reduced,none,81,75,78
MALE,Group D,Some College,free/reduced,none,63,61,60
FEMALE,Group D,High School,standard,none,67,72,74
MALE,Group B,High School,standard,none,60,68,60
MALE,Group B,High School,standard,none,62,55,54
FEMALE,Group C,Some High School,free/reduced,completed,29,40,44
MALE,Group B,Some College,standard,completed,62,66,68
FEMALE,Group E,Master'S Degree,standard,completed,94,99,100
MALE,Group E,Some College,standard,completed,85,75,68
MALE,Group D,Associate'S Degree,free/reduced,none,77,78,73
MALE,Group A,High School,free/reduced,none,53,58,44
MALE,Group E,Some College,free/reduced,none,93,90,83
FEMALE,Group C,Associate'S Degree,standard,none,49,53,53
FEMALE,Group E,Associate'S Degree,free/reduced,none,73,76,78
FEMALE,Group C,Bachelor'S Degree,free/reduced,completed,66,74,81
FEMALE,Group D,Associate'S Degree,standard,none,77,77,73
FEMALE,Group C,Some High School,standard,none,49,63,56
FEMALE,Group D,Some College,free/reduced,none,79,89,86
FEMALE,Group C,Associate'S Degree,standard,completed,75,82,90
FEMALE,Group A,Bachelor'S Degree,standard,none,59,72,70
FEMALE,Group D,Associate'S Degree,standard,completed,57,78,79
MALE,Group C,High School,free/reduced,none,66,66,59
FEMALE,Group E,Bachelor'S Degree,standard,completed,79,81,82
FEMALE,Group B,Some High School,standard,none,57,67,72
MALE,Group A,Bachelor'S Degree,standard,completed,87,84,87
FEMALE,Group D,Some College,standard,none,63,64,67
FEMALE,Group B,Some High School,free/reduced,completed,59,63,64
MALE,Group A,Bachelor'S Degree,free/reduced,none,62,72,65
MALE,Group D,High School,standard,none,46,34,36
MALE,Group C,Some College,standard,none,66,59,52
MALE,Group D,High School,standard,none,89,87,79
FEMALE,Group D,Associate'S Degree,free/reduced,completed,42,61,58
MALE,Group C,Some College,standard,completed,93,84,90
FEMALE,Group E,Some High School,standard,completed,80,85,85
FEMALE,Group D,Some College,standard,none,98,100,99
MALE,Group D,Master'S Degree,standard,none,81,81,84
FEMALE,Group B,Some High School,standard,completed,60,70,74
FEMALE,Group B,Associate'S Degree,free/reduced,completed,76,94,87
MALE,Group C,Associate'S Degree,standard,completed,73,78,72
FEMALE,Group C,Associate'S Degree,standard,completed,96,96,99
FEMALE,Group C,High School,standard,none,76,76,74
MALE,Group E,Associate'S Degree,free/reduced,completed,91,73,80
FEMALE,Group C,Some College,free/reduced,none,62,72,70
MALE,Group D,Some High School,free/reduced,completed,55,59,59
FEMALE,Group B,Some High School,free/reduced,completed,74,90,88
MALE,Group C,High School,standard,none,50,48,42
MALE,Group B,Some College,standard,none,47,43,41
MALE,Group E,Some College,standard,completed,81,74,71
FEMALE,Group E,Associate'S Degree,standard,completed,65,75,77
MALE,Group E,Some High School,standard,completed,68,51,57
FEMALE,Group D,High School,free/reduced,none,73,92,84
MALE,Group C,Some College,standard,none,53,39,37
FEMALE,Group B,Associate'S Degree,free/reduced,completed,68,77,80
MALE,Group A,Some High School,free/reduced,none,55,46,43
FEMALE,Group C,Some College,standard,completed,87,89,94
MALE,Group D,Some High School,standard,none,55,47,44
FEMALE,Group E,Some College,free/reduced,none,53,58,57
MALE,Group C,Master'S Degree,standard,none,67,57,59
MALE,Group C,Associate'S Degree,standard,none,92,79,84
FEMALE,Group B,Some College,free/reduced,completed,53,66,73
MALE,Group D,Associate'S Degree,standard,none,81,71,73
MALE,Group C,High School,free/reduced,none,61,60,55
MALE,Group D,Bachelor'S Degree,standard,none,80,73,72
FEMALE,Group A,Associate'S Degree,free/reduced,none,37,57,56
FEMALE,Group C,High School,standard,none,81,84,82
FEMALE,Group C,Associate'S Degree,standard,completed,59,73,72
MALE,Group B,Some College,free/reduced,none,55,55,47
MALE,Group D,Associate'S Degree,standard,none,72,79,74
MALE,Group D,High School,standard,none,69,75,71
MALE,Group C,Some College,standard,none,69,64,68
FEMALE,Group C,Bachelor'S Degree,free/reduced,none,50,60,59
MALE,Group B,Some College,standard,completed,87,84,86
MALE,Group D,Some High School,standard,completed,71,69,68
MALE,Group E,Some College,standard,none,68,72,65
MALE,Group C,Master'S Degree,free/reduced,completed,79,77,75
FEMALE,Group C,Some High School,standard,completed,77,90,85
MALE,Group C,Associate'S Degree,free/reduced,none,58,55,53
FEMALE,Group E,Associate'S Degree,standard,none,84,95,92
MALE,Group D,Some College,standard,none,55,58,52
MALE,Group E,Bachelor'S Degree,free/reduced,completed,70,68,72
FEMALE,Group D,Some College,free/reduced,completed,52,59,65
MALE,Group B,Some College,standard,completed,69,77,77
FEMALE,Group C,High School,free/reduced,none,53,72,64
FEMALE,Group D,Some High School,standard,none,48,58,54
MALE,Group D,Some High School,standard,completed,78,81,86
FEMALE,Group B,High School,standard,none,62,62,63
MALE,Group D,Some College,standard,none,60,63,59
FEMALE,Group B,High School,standard,none,74,72,72
FEMALE,Group C,High School,standard,completed,58,75,77
MALE,Group B,High School,standard,completed,76,62,60
FEMALE,Group D,Some High School,standard,none,68,71,75
MALE,Group A,Some College,free/reduced,none,58,60,57
MALE,Group B,High School,standard,none,52,48,49
MALE,Group D,Bachelor'S Degree,standard,none,75,73,74
FEMALE,Group B,Some High School,free/reduced,completed,52,67,72
FEMALE,Group C,Bachelor'S Degree,free/reduced,none,62,78,79
MALE,Group B,Some College,standard,none,66,65,60
FEMALE,Group B,Some High School,free/reduced,none,49,58,55
FEMALE,Group B,High School,standard,none,66,72,70
FEMALE,Group C,Some College,free/reduced,none,35,44,43
FEMALE,Group A,Some College,standard,completed,72,79,82
MALE,Group E,Associate'S Degree,standard,completed,94,85,82
FEMALE,Group D,Associate'S Degree,free/reduced,none,46,56,57
FEMALE,Group B,Master'S Degree,standard,none,77,90,84
FEMALE,Group B,High School,free/reduced,completed,76,85,82
FEMALE,Group C,Associate'S Degree,standard,completed,52,59,62
MALE,Group C,Bachelor'S Degree,standard,completed,91,81,79
FEMALE,Group B,Some High School,standard,completed,32,51,44
FEMALE,Group E,Some High School,free/reduced,none,72,79,77
FEMALE,Group B,Some College,standard,none,19,38,32
MALE,Group C,Associate'S Degree,free/reduced,none,68,65,61
FEMALE,Group C,Master'S Degree,free/reduced,none,52,65,61
FEMALE,Group B,High School,standard,none,48,62,60
FEMALE,Group D,Some College,free/reduced,none,60,66,70
MALE,Group D,High School,free/reduced,none,66,74,69
MALE,Group E,Some High School,standard,completed,89,84,77
FEMALE,Group B,High School,standard,none,42,52,51
FEMALE,Group E,Associate'S Degree,free/reduced,completed,57,68,73
MALE,Group D,High School,standard,none,70,70,70
FEMALE,Group E,Associate'S Degree,free/reduced,none,70,84,81
MALE,Group E,Some College,standard,none,69,60,54
FEMALE,Group C,Associate'S Degree,standard,none,52,55,57
MALE,Group C,Some High School,standard,completed,67,73,68
MALE,Group C,Some High School,standard,completed,76,80,73
FEMALE,Group E,Associate'S Degree,standard,none,87,94,95
FEMALE,Group B,Some College,standard,none,82,85,87
FEMALE,Group C,Some College,standard,none,73,76,78
MALE,Group A,Some College,free/reduced,none,75,81,74
FEMALE,Group D,Some College,free/reduced,none,64,74,75
FEMALE,Group E,High School,free/reduced,none,41,45,40
MALE,Group C,High School,standard,none,90,75,69
MALE,Group B,Bachelor'S Degree,standard,none,59,54,51
MALE,Group A,Some High School,standard,none,51,31,36
MALE,Group A,High School,free/reduced,none,45,47,49
FEMALE,Group C,Master'S Degree,standard,completed,54,64,67
MALE,Group E,Some High School,standard,completed,87,84,76
FEMALE,Group C,High School,standard,none,72,80,83
MALE,Group B,Some High School,standard,completed,94,86,87
FEMALE,Group A,Bachelor'S Degree,standard,none,45,59,64
MALE,Group D,Bachelor'S Degree,free/reduced,completed,61,70,76
FEMALE,Group B,High School,free/reduced,none,60,72,68
FEMALE,Group C,Some High School,standard,none,77,91,88
FEMALE,Group A,Some High School,standard,completed,85,90,92
FEMALE,Group D,Bachelor'S Degree,free/reduced,none,78,90,93
MALE,Group E,Some College,free/reduced,completed,49,52,51
FEMALE,Group B,High School,free/reduced,none,71,87,82
FEMALE,Group C,Some High School,free/reduced,none,48,58,52
MALE,Group C,High School,standard,none,62,67,58
FEMALE,Group C,Associate'S Degree,free/reduced,completed,56,68,70
FEMALE,Group C,Some High School,standard,none,65,69,76
FEMALE,Group D,Some High School,free/reduced,completed,69,86,81
MALE,Group B,Some High School,standard,none,68,54,53
FEMALE,Group A,Some College,free/reduced,none,61,60,57
FEMALE,Group C,Bachelor'S Degree,free/reduced,completed,74,86,89
MALE,Group A,Bachelor'S Degree,standard,none,64,60,58
FEMALE,Group B,High School,standard,completed,77,82,89
MALE,Group B,Some College,standard,none,58,50,45
FEMALE,Group C,High School,standard,completed,60,64,74
MALE,Group E,High School,standard,none,73,64,57
FEMALE,Group A,High School,standard,completed,75,82,79
MALE,Group B,Associate'S Degree,free/reduced,completed,58,57,53
FEMALE,Group C,Associate'S Degree,standard,none,66,77,73
FEMALE,Group D,High School,free/reduced,none,39,52,46
MALE,Group C,Some High School,standard,none,64,58,51
FEMALE,Group B,High School,free/reduced,completed,23,44,36
MALE,Group B,Some College,free/reduced,completed,74,77,76
FEMALE,Group D,Some High School,free/reduced,completed,40,65,64
MALE,Group E,Master'S Degree,standard,none,90,85,84
MALE,Group C,Master'S Degree,standard,completed,91,85,85
MALE,Group D,High School,standard,none,64,54,50
FEMALE,Group C,High School,standard,none,59,72,68
MALE,Group D,Associate'S Degree,standard,none,80,75,69
MALE,Group C,Master'S Degree,standard,none,71,67,67
FEMALE,Group A,High School,standard,none,61,68,63
FEMALE,Group E,Some College,standard,none,87,85,93
MALE,Group E,Some High School,standard,none,82,67,61
MALE,Group C,Some High School,standard,none,62,64,55
FEMALE,Group B,Bachelor'S Degree,standard,none,97,97,96
MALE,Group B,Some College,free/reduced,none,75,68,65
FEMALE,Group C,Bachelor'S Degree,standard,none,65,79,81
MALE,Group B,High School,standard,completed,52,49,46
MALE,Group C,Associate'S Degree,free/reduced,none,87,73,72
FEMALE,Group C,Associate'S Degree,standard,none,53,62,53
FEMALE,Group E,Master'S Degree,free/reduced,none,81,86,87
MALE,Group D,Bachelor'S Degree,free/reduced,completed,39,42,38
FEMALE,Group C,Some College,standard,completed,71,71,80
MALE,Group C,Associate'S Degree,standard,none,97,93,91
MALE,Group D,Some College,standard,completed,82,82,88
MALE,Group C,High School,free/reduced,none,59,53,52
MALE,Group B,Associate'S Degree,standard,none,61,42,41
MALE,Group E,Associate'S Degree,free/reduced,completed,78,74,72
MALE,Group C,Associate'S Degree,free/reduced,none,49,51,51
MALE,Group B,High School,standard,none,59,58,47
FEMALE,Group C,Some College,standard,completed,70,72,76
MALE,Group B,Associate'S Degree,standard,completed,82,84,78
MALE,Group E,Associate'S Degree,free/reduced,none,90,90,82
FEMALE,Group C,Bachelor'S Degree,free/reduced,none,43,62,61
MALE,Group C,Some College,free/reduced,none,80,64,66
MALE,Group D,Some College,standard,none,81,82,84
MALE,Group C,Some High School,standard,none,57,61,54
FEMALE,Group D,Some High School,standard,none,59,72,80
FEMALE,Group D,Associate'S Degree,standard,none,64,76,74
MALE,Group C,Bachelor'S Degree,standard,completed,63,64,66
FEMALE,Group E,Bachelor'S Degree,standard,completed,71,70,70
FEMALE,Group B,High School,free/reduced,none,64,73,71
MALE,Group D,Bachelor'S Degree,free/reduced,none,55,46,44
FEMALE,Group E,Associate'S Degree,standard,none,51,51,54
FEMALE,Group C,Associate'S Degree,standard,completed,62,76,80
FEMALE,Group E,Associate'S Degree,standard,completed,93,100,95
MALE,Group C,High School,free/reduced,none,54,72,59
FEMALE,Group D,Some College,free/reduced,none,69,65,74
MALE,Group D,High School,free/reduced,none,44,51,48
FEMALE,Group E,Some College,standard,completed,86,85,91
FEMALE,Group E,Associate'S Degree,standard,none,85,92,85
FEMALE,Group A,Master'S Degree,free/reduced,none,50,67,73
MALE,Group D,Some High School,standard,completed,88,74,75
FEMALE,Group E,Associate'S Degree,standard,none,59,62,69
FEMALE,Group E,Some High School,free/reduced,none,32,34,38
MALE,Group B,High School,free/reduced,none,36,29,27
FEMALE,Group B,Some High School,free/reduced,completed,63,78,79
MALE,Group D,Associate'S Degree,standard,completed,67,54,63
FEMALE,Group D,Some High School,standard,completed,65,78,82
MALE,Group D,Master'S Degree,standard,none,85,84,89
FEMALE,Group C,Master'S Degree,standard,none,73,78,74
FEMALE,Group A,High School,free/reduced,completed,34,48,41
FEMALE,Group D,Bachelor'S Degree,free/reduced,completed,93,100,100
FEMALE,Group D,Some High School,free/reduced,none,67,84,84
MALE,Group D,Some College,standard,none,88,77,77
MALE,Group B,High School,standard,none,57,48,51
FEMALE,Group D,Some College,standard,completed,79,84,91
FEMALE,Group C,Bachelor'S Degree,free/reduced,none,67,75,72
MALE,Group E,Bachelor'S Degree,standard,completed,70,64,70
MALE,Group D,Bachelor'S Degree,free/reduced,none,50,42,48
FEMALE,Group A,Some College,standard,none,69,84,82
FEMALE,Group C,Bachelor'S Degree,standard,completed,52,61,66
FEMALE,Group C,Bachelor'S Degree,free/reduced,completed,47,62,66
FEMALE,Group B,Associate'S Degree,free/reduced,none,46,61,55
FEMALE,Group E,Some College,standard,none,68,70,66
MALE,Group E,Bachelor'S Degree,standard,completed,100,100,100
FEMALE,Group C,High School,standard,none,44,61,52
FEMALE,Group C,Associate'S Degree,standard,completed,57,77,80
MALE,Group B,Some College,standard,completed,91,96,91
MALE,Group D,High School,free/reduced,none,69,70,67
FEMALE,Group C,High School,free/reduced,none,35,53,46
MALE,Group D,High School,standard,none,72,66,66
FEMALE,Group B,Associate'S Degree,free/reduced,none,54,65,65
MALE,Group D,High School,free/reduced,none,74,70,69
MALE,Group E,Some High School,standard,completed,74,64,60
MALE,Group E,Associate'S Degree,free/reduced,none,64,56,52
FEMALE,Group D,High School,free/reduced,completed,65,61,71
MALE,Group E,Associate'S Degree,free/reduced,completed,46,43,44
FEMALE,Group C,Some High School,free/reduced,none,48,56,51
MALE,Group C,Some College,free/reduced,completed,67,74,70
MALE,Group D,Some College,free/reduced,none,62,57,62
MALE,Group D,Associate'S Degree,free/reduced,completed,61,71,73
MALE,Group C,Bachelor'S Degree,free/reduced,completed,70,75,74
MALE,Group C,Associate'S Degree,standard,completed,98,87,90
MALE,Group D,Some College,free/reduced,none,70,63,58
MALE,Group A,Associate'S Degree,standard,none,67,57,53
FEMALE,Group E,High School,free/reduced,none,57,58,57
MALE,Group D,Some College,standard,completed,85,81,85
MALE,Group D,Some High School,standard,completed,77,68,69
MALE,Group C,Master'S Degree,free/reduced,completed,72,66,72
FEMALE,Group D,Master'S Degree,standard,none,78,91,96
MALE,Group C,High School,standard,none,81,66,64
MALE,Group A,Some High School,free/reduced,completed,61,62,61
FEMALE,Group B,High School,standard,none,58,68,61
FEMALE,Group C,Associate'S Degree,standard,none,54,61,58
MALE,Group B,High School,standard,none,82,82,80
FEMALE,Group D,Some College,free/reduced,none,49,58,60
MALE,Group B,Some High School,free/reduced,completed,49,50,52
FEMALE,Group E,High School,free/reduced,completed,57,75,73
MALE,Group E,High School,standard,none,94,73,71
FEMALE,Group D,Some College,standard,completed,75,77,83
FEMALE,Group E,Some High School,free/reduced,none,74,74,72
MALE,Group C,High School,standard,completed,58,52,54
FEMALE,Group C,Some College,standard,none,62,69,69
MALE,Group E,Associate'S Degree,standard,none,72,57,62
MALE,Group C,Some College,standard,none,84,87,81
FEMALE,Group D,Master'S Degree,standard,none,92,100,100
FEMALE,Group D,High School,standard,none,45,63,59
MALE,Group C,High School,standard,none,75,81,71
FEMALE,Group A,Some College,standard,none,56,58,64
FEMALE,Group D,Some High School,free/reduced,none,48,54,53
FEMALE,Group E,Associate'S Degree,standard,none,100,100,100
FEMALE,Group C,Some High School,free/reduced,completed,65,76,75
MALE,Group D,Some College,standard,none,72,57,58
FEMALE,Group D,Some College,standard,none,62,70,72
MALE,Group A,Some High School,standard,completed,66,68,64
MALE,Group C,Some College,standard,none,63,63,60
FEMALE,Group E,Associate'S Degree,standard,none,68,76,67
FEMALE,Group B,Bachelor'S Degree,standard,none,75,84,80
FEMALE,Group D,Bachelor'S Degree,standard,none,89,100,100
MALE,Group C,Some High School,standard,completed,78,72,69
FEMALE,Group A,High School,free/reduced,completed,53,50,60
FEMALE,Group D,Some College,free/reduced,none,49,65,61
FEMALE,Group A,Some College,standard,none,54,63,67
FEMALE,Group C,Some College,standard,completed,64,82,77
MALE,Group B,Some College,free/reduced,completed,60,62,60
MALE,Group C,Associate'S Degree,standard,none,62,65,58
MALE,Group D,High School,standard,completed,55,41,48
FEMALE,Group C,Associate'S Degree,standard,none,91,95,94
FEMALE,Group B,High School,free/reduced,none,8,24,23
MALE,Group D,Some High School,standard,none,81,78,78
MALE,Group B,Some High School,standard,completed,79,85,86
FEMALE,Group A,Some College,standard,completed,78,87,91
FEMALE,Group C,Some High School,standard,none,74,75,82
MALE,Group A,High School,standard,none,57,51,54
FEMALE,Group C,Associate'S Degree,standard,none,40,59,51
MALE,Group E,Some High School,standard,completed,81,75,76
FEMALE,Group A,Some High School,free/reduced,none,44,45,45
FEMALE,Group D,Some College,free/reduced,completed,67,86,83
MALE,Group E,High School,free/reduced,completed,86,81,75
FEMALE,Group B,Some High School,standard,completed,65,82,78
FEMALE,Group D,Associate'S Degree,free/reduced,none,55,76,76
FEMALE,Group D,Bachelor'S Degree,free/reduced,none,62,72,74
MALE,Group A,High School,standard,none,63,63,62
FEMALE,Group E,Master'S Degree,standard,completed,88,99,95
MALE,Group C,High School,free/reduced,none,62,55,55
FEMALE,Group C,High School,free/reduced,completed,59,71,65
FEMALE,Group D,Some College,standard,completed,68,78,77
FEMALE,Group D,Some College,free/reduced,none,77,86,86
